externalId,tag
916bff8c-db55-4779-a162-25c93b40fdd9,(Keine Auswahl)
c74ce013-0161-43e2-babf-b98e21c037b0,Ankara
19bbf3e4-3bce-4127-9fca-d1aa84b8db6c,Frankfurt am Main
e7701df1-368c-48f3-b03f-fd112c4cdad7,(Keine Auswahl)
05a4d0d0-5573-53f8-a49f-1e02ffc7e9a4,(Keine Auswahl)
217a473e-f536-40a6-a4c7-d0adb1cf2851,(Keine Auswahl)
602efb22-35de-52f7-b373-3d457b37928c,(Keine Auswahl)
e105c22a-5d25-4825-9b1d-71ee74366cf8,(Keine Auswahl)
ca75d865-a963-45ae-9dbe-cdadc646263a,(Keine Auswahl)
4fa14b83-00d6-4165-acc0-da15c604e53e,Kiew
fa777105-8537-56fa-b277-f396c3b015b4,(Keine Auswahl)
3b6c0171-40b6-4da4-b9d3-e23158b3bda3,(Keine Auswahl)
4cae595c-1e37-4ada-8b37-799e1e3bb1e4,(Keine Auswahl)
77d9f5dd-4ab9-4c07-81f4-1f9f7022a28b,(Keine Auswahl)
f4d9f6f5-5242-45da-9e54-20e84414c075,Berlin
ca4e29b6-e98b-57bd-9f77-dc25cf2ba7c3,(Keine Auswahl)
9d0e49f8-4fbc-406f-a804-48b59392e659,Washington D.C.
61c42016-b748-5c25-ad03-c7e804c12c65,(Keine Auswahl)
7d141a07-64a4-54ca-84ee-7d075d18bd18,(Keine Auswahl)
e8f1e91e-66a6-5055-876d-153cf0110aa5,(Keine Auswahl)
9a282dea-0ea1-42fc-a3fc-d3766a4b8e81,London
fe8d0aca-be03-4822-9272-1012b0bddd5f,(Keine Auswahl)
7fa00f49-f0ed-5aa5-8ceb-fd44b64b319f,(Keine Auswahl)
6e77e9b2-a898-4de4-a6c5-dbf83154ed2a,(Keine Auswahl)
a543a51a-54ed-4c21-9ed3-c7bf9e8acc46,(Keine Auswahl)
9a6702b9-cb9e-444d-9a5b-4d76f4fa7ae7,(Keine Auswahl)
e09788da-a2aa-4182-915f-1c9f477d3b6c,Hannover
5cda07fd-55c3-532b-8aee-84503c8c15d8,(Keine Auswahl)
1bac59de-b25f-567e-81a7-c268879ae532,(Keine Auswahl)
8d4fae65-9c4e-4fa7-a51b-a5e4035459b3,(Keine Auswahl)
14625f19-c151-4bea-b3a9-1420b7090e83,Brüssel
3dd1521f-b962-47b3-969b-e23f0e78fdcb,(Keine Auswahl)
fde98a44-cedc-5c2f-ad02-12a5d394d86b,(Keine Auswahl)
d03201da-7d4b-40e1-bf36-ad7a8ea08415,(Keine Auswahl)
324a501b-671d-5a0d-97b0-9af820bd98fe,(Keine Auswahl)
e12cf1c5-e50b-40a2-85b8-9396bac0602d,(Keine Auswahl)
2f522cc6-097b-4495-80cb-70129aac88b0,Kiew
b9f1b007-a623-593a-b382-0e0bdd8b8a11,(Keine Auswahl)
df36be28-8e92-464e-b2c8-c3e7ad9f2f43,(Keine Auswahl)
de497aa4-6da4-5ec8-906d-c6e336cbde81,(Keine Auswahl)
28c19c9c-708b-41f6-a7bc-886ccdeda6ee,(Keine Auswahl)
3ea9cdc6-e979-5cb1-af17-bc224bcf6a67,(Keine Auswahl)
aba6c241-6909-4a6c-9651-491bea3908da,Moskau
5ccb0bb2-f48d-493f-96bf-9098c22002b4,Berlin
dc52cb9c-53f0-4161-b9f3-fe233deaf638,Hamburg
f24b5d9b-6ee3-47f0-be92-ac48ba43b108,Mariupol
a6dd0b26-99c0-4cdc-bc00-1f5be85576dc,(Keine Auswahl)
c92eb928-0eae-52a9-a7b9-a005bc1ebad4,(Keine Auswahl)
44c4a599-094e-4201-8373-2e8135c861bd,Ankara
90f35505-a611-4deb-9124-7579c4d2950a,Nairobi
bfd8e683-27b9-4e67-94fc-7528020494b9,Hamburg
74b2bd04-8480-48d0-9db7-0c60e2208d12,(Keine Auswahl)
d37051c0-ad14-58ad-8068-9c9262c75515,(Keine Auswahl)
4de0130e-fe89-4426-86a9-2999a60d907d,(Keine Auswahl)
b206be7d-b05b-5ae0-8dfb-70a2d2ce91e3,(Keine Auswahl)
5356b905-1934-5f43-b56b-08ddfb501161,(Keine Auswahl)
00fe2fc7-120e-48b9-adf3-1af0f5683afc,(Keine Auswahl)
85dd2971-0ece-4de5-9101-493ba1f68d90,London
8b9b1035-8c60-5afc-8c9b-a95aad340d1d,(Keine Auswahl)
c7a738bf-181b-4eb8-a32a-48906dcf9ac3,(Keine Auswahl)
867c438f-811a-5910-bbf1-bda0e0834d04,(Keine Auswahl)
c38181f5-5d0d-4e8b-a522-4cc8f26a42e8,(Keine Auswahl)
4b7c7ea8-29ae-40e2-91da-5fcdc8c4ba1a,(Keine Auswahl)
a587a77f-f894-585f-a878-977578556290,(Keine Auswahl)
42daa400-b72c-4992-be48-7bbfb7a79953,(Keine Auswahl)
1040b7c3-7619-4014-b5bb-514a0ebe6782,Lemberg
634fb7e8-454d-4986-aa6c-7e02916354b7,(Keine Auswahl)
716b88d0-9c97-5652-84cc-2751cfdbaf81,(Keine Auswahl)
2b021e55-d28e-44da-b3d5-fe8d84e29cc4,Frankfurt am Main
7c1b1b96-0cbc-5261-a791-d6f71d16109c,(Keine Auswahl)
36a4cf59-e867-4016-bb9d-5c59bff368a7,Berlin
ef947604-e764-4035-865d-ff6df38925ad,(Keine Auswahl)
2db1f69e-c195-5615-a5a3-0cec502dbcbc,(Keine Auswahl)
c09d449b-0839-4b6c-bf61-b416f5e376db,(Keine Auswahl)
047bf80d-86f0-4d6f-b02a-ceaaf48e6e3c,Köln
442620bb-619a-4254-b8b7-684884951ef7,(Keine Auswahl)
048791ed-9751-4dd0-a129-d2fce59f8b95,Berlin
e414ab41-221a-4181-aba8-79346e046ec0,(Keine Auswahl)
32ff73be-d4ab-4064-8b98-e04f0d497e0f,(Keine Auswahl)
3f161818-3155-40f6-ae08-6c650da540eb,Kiew
16687752-9840-55b8-9966-ba0d958e9ff9,(Keine Auswahl)
932f7c3c-711e-4f99-a885-4c7973f3db28,Frankfurt am Main
8f40249b-abef-4ab7-9a0a-4b0e95ce2d37,(Keine Auswahl)
aa7e7c12-c78d-441d-830b-f24800bd8edf,(Keine Auswahl)
10fde0bd-1d49-5ddf-971b-0e8ef9870737,(Keine Auswahl)
99680f72-fc10-48e7-ae25-a1566c6fdd06,(Keine Auswahl)
5fdd2759-f86e-577b-8d2b-ac785b3e15d8,(Keine Auswahl)
c17e32db-4565-419f-82a2-9bfc39a7a5ac,Berlin
